,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Garden surface,Price,Swimming pool,Neighbourhood or locality,Terrace
3906,,2,190  m² square meters,Installed,3,1,,205  m²  square meters,,"€ 447,000  447000 €",,,Yes
3907,Good,,242  m² square meters,Installed,4,,No,259  m²  square meters,90  m²  square meters,"€ 425,000  425000 €",,,
3908,To be done up,3,112  m² square meters,,3,1,,424  m²  square meters,,"€ 225,000  225000 €",,,Yes
3909,To be done up,2,136  m² square meters,Semi equipped,2,1,,380  m²  square meters,,"€ 146,000  146000 €",,,
3910,As new,4,1000  m² square meters,Installed,24,24,Yes,1500  m²  square meters,,"€ 3,600,000  3600000 €",,Bosuil,
3911,To renovate,2,186  m² square meters,Semi equipped,3,1,,186  m²  square meters,20  m²  square meters,"€ 450,000  450000 €",No,,
3912,Just renovated,4,,Installed,5,1,,2516  m²  square meters,2000  m²  square meters,"€ 750,000  750000 €",No,,
3913,Good,2,147  m² square meters,Installed,3,,No,530  m²  square meters,,"€ 210,000  210000 €",,,
3914,Good,4,200  m² square meters,Installed,3,,,1002  m²  square meters,,"€ 600,000  600000 €",,,Yes
3915,To renovate,4,95  m² square meters,,2,1,No,130  m²  square meters,,"Make an offer starting from  € 119,000  Make an offer starting from  119000 €",No,,
3916,To renovate,3,152  m² square meters,Semi equipped,3,1,,120  m²  square meters,,"€ 260,000  260000 €",,,
3917,To be done up,3,215  m² square meters,Semi equipped,3,1,,411  m²  square meters,,"€ 249,000  249000 €",,,Yes
3918,As new,2,174  m² square meters,Hyper equipped,3,2,No,198  m²  square meters,15  m²  square meters,"€ 358,500  358500 €",No,Gent en omstreken,
3919,As new,2,140  m² square meters,Hyper equipped,3,1,,170  m²  square meters,100  m²  square meters,"€ 415,000  415000 €",No,,
3920,As new,4,334  m² square meters,Installed,4,2,No,1231  m²  square meters,,"€ 749,000  749000 €",Yes,,
3921,Good,4,,Installed,5,1,No,563  m²  square meters,300  m²  square meters,"€ 310,000  310000 €",,,
3922,Good,4,500  m² square meters,Installed,7,4,,14909  m²  square meters,,"€ 1,450,000  1450000 €",,,Yes
3923,As new,4,182  m² square meters,Hyper equipped,5,1,No,549  m²  square meters,400  m²  square meters,"€ 485,000  485000 €",No,,
3924,As new,4,160  m² square meters,,4,1,No,688  m²  square meters,,"€ 499,000  499000 €",,,Yes
3925,Good,3,180  m² square meters,Hyper equipped,5,2,No,432  m²  square meters,352  m²  square meters,"Make an offer starting from  € 580,000  Make an offer starting from  580000 €",Yes,,
3926,To be done up,4,176  m² square meters,Semi equipped,4,1,,596  m²  square meters,430  m²  square meters,"€ 545,000  545000 €",No,,
3927,As new,4,365  m² square meters,Installed,4,2,No,792  m²  square meters,325  m²  square meters,"€ 499,000  499000 €",No,,
3928,As new,,199  m² square meters,Installed,3,,No,582  m²  square meters,,"€ 445,000  445000 €",,,Yes
3929,To renovate,4,198  m² square meters,Semi equipped,4,1,,1000  m²  square meters,,"€ 449,000  449000 €",,,Yes
3930,As new,3,200  m² square meters,Installed,3,1,,600  m²  square meters,,"€ 423,000  423000 €",No,,
3931,Good,3,270  m² square meters,Hyper equipped,6,1,,560  m²  square meters,410  m²  square meters,"€ 350,000  350000 €",,,
3932,Good,4,475  m² square meters,Hyper equipped,4,2,,1200  m²  square meters,,"€ 740,000  740000 €",,,Yes
3933,To be done up,3,304  m² square meters,Installed,4,3,,1640  m²  square meters,1200  m²  square meters,"€ 572,000  572000 €",,,
3934,Just renovated,2,182  m² square meters,Installed,4,1,No,139  m²  square meters,,"€ 549,000  549000 €",,,
3935,Good,3,143  m² square meters,Installed,3,1,,493  m²  square meters,,"Make an offer starting from  € 239,500  Make an offer starting from  239500 €",,,
3936,To renovate,4,174  m² square meters,Not installed,3,,,767  m²  square meters,,"€ 220,000  220000 €",,,
3937,,4,458  m² square meters,,8,2,No,52491  m²  square meters,,"€ 1,295,000  1295000 €",Yes,,Yes
3938,,3,156  m² square meters,Installed,4,1,,408  m²  square meters,,"€ 341,006  341006 €",,,
3939,Good,3,180  m² square meters,Hyper equipped,3,1,No,154  m²  square meters,70  m²  square meters,"€ 425,000  425000 €",No,Bruxelles-Ouest,
3940,As new,4,273  m² square meters,Hyper equipped,5,2,,858  m²  square meters,,"€ 1,650,000  1650000 €",No,,
3941,To renovate,4,120  m² square meters,Installed,2,1,,484  m²  square meters,,"€ 375,000  375000 €",,,Yes
3942,To be done up,4,204  m² square meters,,3,1,,1861  m²  square meters,1200  m²  square meters,,,,Yes
3943,,4,180  m² square meters,Installed,5,1,,750  m²  square meters,305  m²  square meters,"€ 499,000  499000 €",,,
3944,As new,3,193  m² square meters,Hyper equipped,4,1,,610  m²  square meters,450  m²  square meters,"€ 345,000  345000 €",,,
3945,,3,175  m² square meters,,4,2,,435  m²  square meters,350  m²  square meters,"€ 380,000  380000 €",,,
3946,Good,2,,USA installed,4,3,,,,"€ 395,000  395000 €",,Belgium,
3947,As new,3,125  m² square meters,,3,1,No,354  m²  square meters,,"€ 289,000  289000 €",No,Zone Centre Province du Luxembourg,
3948,Just renovated,3,110  m² square meters,Hyper equipped,3,1,,245  m²  square meters,75  m²  square meters,"€ 640,000  640000 €",No,,
3949,To renovate,3,180  m² square meters,,3,1,,100  m²  square meters,,"Make an offer starting from  € 119,000  Make an offer starting from  119000 €",,,
3950,As new,3,161  m² square meters,Semi equipped,3,1,No,520  m²  square meters,,"€ 365,000  365000 €",No,Brabant Wallon,
3951,As new,,220  m² square meters,Installed,4,1,,766  m²  square meters,,"€ 315,000  315000 €",,,Yes
3952,Good,4,156  m² square meters,,4,1,,2729  m²  square meters,2619  m²  square meters,"€ 350,000  350000 €",,Huy,Yes
3953,,2,91  m² square meters,,2,,,43  m²  square meters,,"€ 60,000  60000 €",,,
3954,To be done up,2,150  m² square meters,Installed,3,1,,240  m²  square meters,166  m²  square meters,"€ 349,500  349500 €",No,,
