,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Garden surface,Price,Swimming pool,Neighbourhood or locality,Terrace
3061,Just renovated,2,146  m² square meters,,3,1,No,150  m²  square meters,,"€ 239,000  239000 €",No,,Yes
3062,Good,2,169  m² square meters,Installed,3,3,No,75  m²  square meters,,"Make an offer starting from  € 199,000  Make an offer starting from  199000 €",No,GRAND VERVIERS,
3063,Good,2,180  m² square meters,Hyper equipped,5,2,No,145  m²  square meters,,"€ 1,350,000  1350000 €",No,Het Zoute,Yes
3064,To be done up,3,155  m² square meters,Semi equipped,3,1,No,383  m²  square meters,,"€ 275,000  275000 €",,,Yes
3065,Good,4,250  m² square meters,Installed,4,1,,1110  m²  square meters,,"€ 585,000  585000 €",,,Yes
3066,Good,4,631  m² square meters,USA hyper equipped,3,2,,1480  m²  square meters,,"€ 975,000  975000 €",,,
3067,Good,3,212  m² square meters,Installed,3,1,,791  m²  square meters,589  m²  square meters,"Make an offer starting from  € 369,000  Make an offer starting from  369000 €",,,
3068,Just renovated,2,139  m² square meters,Installed,3,1,,270  m²  square meters,,"Make an offer starting from  € 280,000  Make an offer starting from  280000 €",,,Yes
3069,Just renovated,1,350  m² square meters,,4,2,,101  m²  square meters,,"€ 1,200,000  1200000 €",No,,
3070,As new,4,295  m² square meters,Hyper equipped,4,2,,500  m²  square meters,,"€ 1,490,000  1490000 €",Yes,Regio Leuven,Yes
3071,To renovate,4,196  m² square meters,,3,1,No,1278  m²  square meters,,"€ 679,000  679000 €",,,Yes
3072,Good,,387  m² square meters,,7,8,Yes,444  m²  square meters,,"€ 1,375,000  1375000 €",,,
3073,To renovate,,150  m² square meters,Installed,3,1,,463  m²  square meters,,"€ 359,000  359000 €",,,
3074,Good,4,156  m² square meters,Not installed,3,1,No,920  m²  square meters,600  m²  square meters,"€ 280,000  280000 €",,,
3075,Just renovated,3,110  m² square meters,,3,2,,422  m²  square meters,,"€ 165,000  165000 €",,urbain,
3076,To restore,2,1190  m² square meters,Semi equipped,12,,,712  m²  square meters,,"€ 2,090,000  2090000 €",,,
3077,Good,4,251  m² square meters,Installed,4,1,,1925  m²  square meters,,"€ 419,000  419000 €",,,Yes
3078,As new,2,230  m² square meters,Installed,3,1,,256  m²  square meters,100  m²  square meters,"€ 335,000  335000 €",,,
3079,To be done up,2,250  m² square meters,,6,3,,95  m²  square meters,30  m²  square meters,"€ 649,000  649000 €",,,
3080,Good,2,196  m² square meters,Installed,5,1,No,192  m²  square meters,88  m²  square meters,"€ 398,000  398000 €",,GROOT GENT,
3081,To be done up,2,168  m² square meters,,4,,,100  m²  square meters,,"€ 285,000  285000 €",,,
3082,Good,3,143  m² square meters,Installed,4,2,,501  m²  square meters,,"€ 375,000  375000 €",,,Yes
3083,As new,3,217  m² square meters,USA hyper equipped,3,1,No,325  m²  square meters,325  m²  square meters,"€ 412,000  412000 €",No,,Yes
3084,As new,3,197  m² square meters,Hyper equipped,3,1,No,343  m²  square meters,,"€ 381,000  381000 €",,Dorp,
3085,To renovate,4,224  m² square meters,Not installed,4,1,No,6545  m²  square meters,5204  m²  square meters,"Make an offer starting from  € 349,000  Make an offer starting from  349000 €",,,Yes
3086,Good,4,424  m² square meters,Installed,5,1,,3126  m²  square meters,2577  m²  square meters,"€ 620,000  620000 €",,,
3087,To renovate,2,315  m² square meters,Semi equipped,2,1,No,410  m²  square meters,275  m²  square meters,"Make an offer starting from  € 229,000  Make an offer starting from  229000 €",No,,
3088,As new,2,176  m² square meters,USA hyper equipped,3,2,No,,62  m²  square meters,"€ 589,000  589000 €",No,,
3089,Just renovated,3,253  m² square meters,Installed,4,2,,1170  m²  square meters,550  m²  square meters,"Make an offer starting from  € 845,000  Make an offer starting from  845000 €",,,Yes
3090,Good,2,260  m² square meters,,7,3,,687  m²  square meters,591  m²  square meters,"€ 439,000  439000 €",,urbain,
3091,As new,3,340  m² square meters,Hyper equipped,5,3,,830  m²  square meters,,"€ 2,250,000  2250000 €",,,
3092,,2,103  m² square meters,Not installed,2,1,,310  m²  square meters,,"€ 90,000  90000 €",,,
3093,,2,90  m² square meters,,2,1,,51  m²  square meters,,"€ 185,000  185000 €",,,
3094,To renovate,2,123  m² square meters,,4,1,No,404  m²  square meters,268  m²  square meters,"€ 240,000  240000 €",,,
3095,As new,2,250  m² square meters,Installed,3,3,,,,"€ 1,050,000  1050000 €",,,
3096,To be done up,2,131  m² square meters,Installed,2,2,No,60  m²  square meters,,"€ 525,000  525000 €",No,,
3097,To be done up,3,105  m² square meters,Installed,3,,No,138  m²  square meters,25  m²  square meters,"€ 145,500  145500 €",,,
3098,To be done up,,150  m² square meters,Installed,2,1,,1221  m²  square meters,,"€ 349,000  349000 €",,,Yes
3099,To be done up,4,600  m² square meters,Not installed,5,3,,10000  m²  square meters,,"€ 1,695,000  1695000 €",Yes,,Yes
3100,To renovate,,400  m² square meters,,3,2,,900  m²  square meters,,"Make an offer starting from  € 375,000  Make an offer starting from  375000 €",,,
3101,Good,4,159  m² square meters,Installed,4,1,No,723  m²  square meters,350  m²  square meters,"€ 348,000  348000 €",No,,
3102,Good,3,95  m² square meters,Installed,3,2,No,145  m²  square meters,,"€ 230,000  230000 €",No,,Yes
3103,To renovate,3,240  m² square meters,,2,1,,7181  m²  square meters,,"€ 595,000  595000 €",,Oost- Vlaanderen,Yes
3104,Good,4,159  m² square meters,Installed,3,1,No,974  m²  square meters,800  m²  square meters,"€ 319,000  319000 €",No,,
3105,,3,215  m² square meters,Installed,3,1,,1652  m²  square meters,,"€ 660,000  660000 €",,,Yes
3106,Good,3,100  m² square meters,Semi equipped,6,,,101  m²  square meters,,"Make an offer starting from  € 220,000  Make an offer starting from  220000 €",,,
3107,Good,4,275  m² square meters,USA installed,4,3,No,800  m²  square meters,400  m²  square meters,"€ 750,000  750000 €",No,,
3108,Good,3,132  m² square meters,Installed,3,1,,384  m²  square meters,,"Make an offer starting from  € 229,000  Make an offer starting from  229000 €",,,Yes
3109,To renovate,3,210  m² square meters,Not installed,5,2,,140  m²  square meters,,"€ 129,000  129000 €",,,
3110,Good,4,278  m² square meters,Semi equipped,3,1,,879  m²  square meters,,"€ 398,000  398000 €",,,
3111,To be done up,2,102  m² square meters,Installed,2,1,No,50  m²  square meters,,"€ 119,000  119000 €",No,Vlaamse Ardennen,
3112,To renovate,,124  m² square meters,,3,1,No,550  m²  square meters,,"€ 339,000  339000 €",,,
3113,Good,4,,Installed,3,1,,675  m²  square meters,,"€ 495,000  495000 €",,,Yes
3114,Good,3,185  m² square meters,Installed,3,1,No,439  m²  square meters,,"€ 375,000  375000 €",No,,Yes
3115,To renovate,4,245  m² square meters,USA hyper equipped,5,2,,1060  m²  square meters,750  m²  square meters,"€ 376,000  376000 €",,,
3116,As new,4,1461  m² square meters,,16,7,No,8669  m²  square meters,6996  m²  square meters,"€ 2,450,000  2450000 €",Yes,,
3117,To be done up,2,157  m² square meters,,2,1,,490  m²  square meters,,"€ 135,000  135000 €",,,
3118,,2,185  m² square meters,,3,2,,271  m²  square meters,,"€ 399,000  399000 €",,,
3119,Good,2,118  m² square meters,Installed,2,2,No,129  m²  square meters,37  m²  square meters,"Make an offer starting from  € 189,000  Make an offer starting from  189000 €",No,Liège environs,Yes
3120,Good,3,180  m² square meters,Semi equipped,4,2,No,470  m²  square meters,300  m²  square meters,"Make an offer starting from  € 185,000  Make an offer starting from  185000 €",,,Yes
3121,As new,3,200  m² square meters,Hyper equipped,3,1,,435  m²  square meters,320  m²  square meters,"€ 369,000  369000 €",,,
3123,As new,2,280  m² square meters,,6,2,,225  m²  square meters,,"€ 995,000  995000 €",,,Yes
3124,As new,4,226  m² square meters,USA hyper equipped,2,1,No,1200  m²  square meters,1050  m²  square meters,"Make an offer starting from  € 300,000  Make an offer starting from  300000 €",No,,
3125,To be done up,3,58  m² square meters,Semi equipped,1,1,,206  m²  square meters,,"€ 125,000  125000 €",,,
3126,,4,393  m² square meters,,5,1,No,2393  m²  square meters,,"€ 765,000  765000 €",No,,
3127,,2,170  m² square meters,USA installed,4,,No,345  m²  square meters,250  m²  square meters,"€ 575,000  575000 €",No,,
3128,Just renovated,3,195  m² square meters,Installed,5,1,,570  m²  square meters,,"Make an offer starting from  € 250,000  Make an offer starting from  250000 €",,,
3129,Good,4,1200  m² square meters,Installed,3,1,,1200  m²  square meters,900000  m²  square meters,"€ 384,000  384000 €",No,,
3131,Good,2,206  m² square meters,Installed,3,2,,50  m²  square meters,,"€ 479,000  479000 €",,zee,Yes
3132,As new,,320  m² square meters,Installed,5,1,No,1228  m²  square meters,,"€ 645,000  645000 €",,,
3133,To be done up,3,180  m² square meters,Installed,3,1,,110  m²  square meters,,"€ 139,000  139000 €",,,
3134,,4,213  m² square meters,Hyper equipped,4,1,No,882  m²  square meters,800  m²  square meters,"€ 435,000  435000 €",,,Yes
3135,To renovate,4,170  m² square meters,,4,1,,726  m²  square meters,,"€ 200,000  200000 €",,,
3136,As new,2,182  m² square meters,,3,1,No,260  m²  square meters,100  m²  square meters,"Make an offer starting from  € 220,000  Make an offer starting from  220000 €",,Hainaut,
3137,Good,4,,Installed,3,1,,571  m²  square meters,,"€ 485,000  485000 €",No,,Yes
3138,As new,4,200  m² square meters,USA hyper equipped,3,1,No,600  m²  square meters,500  m²  square meters,"€ 698,000  698000 €",,Bruxelles (19 communes),Yes
3139,To be done up,2,226  m² square meters,Semi equipped,5,3,,250  m²  square meters,163  m²  square meters,"€ 239,000  239000 €",,VERVIERS,
3140,Good,4,319  m² square meters,,3,1,,1625  m²  square meters,,"€ 690,000  690000 €",,,
3141,Good,2,304  m² square meters,Installed,6,2,No,475  m²  square meters,353  m²  square meters,"€ 1,190,000  1190000 €",,Est de Bruxelles + VL,
3142,To be done up,,255  m² square meters,,4,1,,220  m²  square meters,100  m²  square meters,"€ 550,000  550000 €",,,
3143,Good,,148  m² square meters,Installed,3,,No,140  m²  square meters,,"€ 219,000  219000 €",,,
3144,,2,90  m² square meters,Installed,3,1,No,433  m²  square meters,,"€ 190,000  190000 €",,,
3145,Good,2,169  m² square meters,Installed,3,,No,103  m²  square meters,,"€ 190,000  190000 €",,,Yes
3146,Good,2,185  m² square meters,,3,2,No,506  m²  square meters,,"€ 393,000  393000 €",,,
3147,Good,4,180  m² square meters,Installed,3,2,,1500  m²  square meters,1350  m²  square meters,"€ 440,000  440000 €",Yes,,Yes
3148,As new,4,230  m² square meters,Installed,4,1,,1086  m²  square meters,,"Make an offer starting from  € 490,000  Make an offer starting from  490000 €",,,Yes
3149,As new,2,200  m² square meters,USA installed,3,1,,120  m²  square meters,50  m²  square meters,"€ 735,000  735000 €",No,,
3150,To renovate,4,214  m² square meters,,4,1,,1517  m²  square meters,,,,,
3151,Good,2,174  m² square meters,Installed,3,2,No,38  m²  square meters,,"€ 625,000  625000 €",No,,
3152,Just renovated,2,195  m² square meters,,5,2,No,316  m²  square meters,,"Make an offer starting from  € 450,000  Make an offer starting from  450000 €",,Brabant Wallon,
3153,,3,635  m² square meters,,11,,,,,"€ 1,099,900  1099900 €",,,
3154,Good,2,229  m² square meters,,3,1,No,295  m²  square meters,,"€ 315,000  315000 €",,,Yes
3155,Good,4,162  m² square meters,Installed,4,1,No,2649  m²  square meters,2000  m²  square meters,"€ 397,000  397000 €",,,
3156,Good,4,203  m² square meters,Hyper equipped,5,3,,1387  m²  square meters,1387  m²  square meters,"€ 995,000  995000 €",No,,Yes
3157,Good,2,100  m² square meters,Installed,2,,,387  m²  square meters,,"Make an offer starting from  € 99,000  Make an offer starting from  99000 €",,,
3158,As new,,135  m² square meters,Hyper equipped,3,1,No,108  m²  square meters,,"€ 425,000  425000 €",,,
3159,To be done up,2,175  m² square meters,Installed,4,1,No,282  m²  square meters,180  m²  square meters,"€ 450,000  450000 €",,Bruxelles,
3160,As new,4,1288  m² square meters,Hyper equipped,6,7,No,13154  m²  square meters,,"€ 7,500,000  7500000 €",Yes,,
3161,,3,165  m² square meters,Installed,2,1,,436  m²  square meters,436  m²  square meters,"€ 275,000  275000 €",,,Yes
3162,Good,2,141  m² square meters,Installed,2,1,No,303  m²  square meters,,"€ 259,000  259000 €",,,
3163,Good,,1000  m² square meters,Installed,12,11,Yes,570  m²  square meters,,"€ 1,750,000  1750000 €",,,
3164,Just renovated,3,104  m² square meters,Installed,2,1,,288  m²  square meters,,"€ 240,000  240000 €",,,
3165,To renovate,4,130  m² square meters,Semi equipped,2,1,,840  m²  square meters,,"€ 190,000  190000 €",,,Yes
3166,Good,3,195  m² square meters,Hyper equipped,2,1,,375  m²  square meters,150  m²  square meters,"€ 360,000  360000 €",,,
3167,,2,236  m² square meters,Installed,3,1,,120  m²  square meters,,"€ 209,000  209000 €",,,
3168,Just renovated,,180  m² square meters,Installed,3,1,,264  m²  square meters,130  m²  square meters,"€ 385,000  385000 €",,,
3169,Good,2,302  m² square meters,Installed,3,1,No,454  m²  square meters,,"€ 389,000  389000 €",No,,
3170,Good,4,144  m² square meters,USA semi equipped,4,2,No,733  m²  square meters,215  m²  square meters,"€ 450,000  450000 €",No,,
3171,As new,3,385  m² square meters,Hyper equipped,4,2,,1861  m²  square meters,600  m²  square meters,"€ 1,590,000  1590000 €",,,
3172,,4,606  m² square meters,,8,6,No,1418  m²  square meters,,"€ 349,000  349000 €",No,,Yes
3173,To renovate,2,180  m² square meters,Not installed,3,1,No,130  m²  square meters,20  m²  square meters,"€ 149,000  149000 €",No,Vlaamse Ardennen,
3174,,,226  m² square meters,Semi equipped,2,1,,890  m²  square meters,,"€ 419,000  419000 €",,,
3175,Good,2,100  m² square meters,Installed,3,,,106  m²  square meters,,,,,Yes
3176,To renovate,4,197  m² square meters,Semi equipped,2,1,,,,"€ 325,000  325000 €",,,
3177,As new,2,205  m² square meters,Hyper equipped,4,1,,130  m²  square meters,40  m²  square meters,"€ 449,000  449000 €",No,,
3178,Just renovated,4,143  m² square meters,Semi equipped,2,1,,373  m²  square meters,,"€ 225,000  225000 €",,,
3179,To renovate,,210  m² square meters,Semi equipped,5,,No,115  m²  square meters,,"€ 449,000  449000 €",,,Yes
3180,Good,3,153  m² square meters,Hyper equipped,4,,No,70  m²  square meters,,"€ 289,000  289000 €",,,Yes
3181,,3,275  m² square meters,Hyper equipped,4,1,,730  m²  square meters,,"€ 595,000  595000 €",Yes,,
3182,Good,2,218  m² square meters,Installed,4,4,No,244  m²  square meters,,"€ 185,000  185000 €",,Henegouwen,
3183,Good,1,280  m² square meters,Installed,3,2,,180  m²  square meters,62  m²  square meters,"€ 318,500  318500 €",No,,
3184,Good,4,340  m² square meters,Hyper equipped,5,3,No,576  m²  square meters,500  m²  square meters,"€ 825,000  825000 €",,,
3185,Good,3,100  m² square meters,Semi equipped,1,1,,610  m²  square meters,,"€ 165,000  165000 €",,,
3186,Good,,145  m² square meters,Installed,3,,No,67  m²  square meters,,"€ 250,000  250000 €",,,Yes
3187,To be done up,3,110  m² square meters,Semi equipped,2,1,No,211  m²  square meters,,"Make an offer starting from  € 179,000  Make an offer starting from  179000 €",,,Yes
3188,Good,2,69  m² square meters,Installed,2,1,No,42  m²  square meters,,"€ 198,000  198000 €",,,
3189,Just renovated,2,142  m² square meters,,3,1,No,150  m²  square meters,,"€ 240,000  240000 €",No,,Yes
3190,To renovate,,97  m² square meters,Not installed,4,1,No,335  m²  square meters,335  m²  square meters,"€ 129,000  129000 €",,,
